0 9710.0
 
1 8336.0
 
2 9806.0
 
3 7527.0
 
4 8100.0
 
5 8128.0
 
6 6724.0
 
7 7166.0
 
8 8597.0
 
9 8785.0
 
10 7661.0
 
11 9020.0
 
12 7309.0
 
13 7196.0
 
14 6635.0
 
15 7859.0
 
16 9894.0
 
17 7430.0
 
18 8745.0
 
19 12200.0
 
20 6056.0
 
21 7702.0
 
22 7754.0
 
23 7479.0
 
24 7997.0
 
25 6381.0
 
26 7000.0
 
27 9815.0
 
28 7832.0
 
29 10142.0
 
30 9503.0
 
31 7947.0
 
32 6696.0
 
33 9146.0
 
34 8687.0
 
35 7931.0
 
36 7323.0
 
37 7946.0
 
38 6603.0
 
39 8009.0
 
40 8283.0
 
41 8791.0
 
42 8236.0
 
43 8496.0
 
44 8485.0
 
45 9117.0
 
46 5793.0
 
47 7981.0
 
48 9063.0
 
49 7185.0
 
